plot_code,day,month,year,subplot,LAI
BOB-01,13,4,2015,NA,4.98
BOB-01,13,4,2015,NA,4.45
BOB-01,13,4,2015,NA,3.87
BOB-01,13,4,2015,NA,4.58
BOB-01,13,4,2015,NA,4.68
BOB-01,13,4,2015,NA,4.58
BOB-01,13,4,2015,NA,5.28
BOB-01,13,4,2015,NA,4.49
BOB-01,13,4,2015,NA,3.72
BOB-01,13,4,2015,NA,4.88
BOB-01,13,4,2015,NA,3.87
BOB-01,13,4,2015,NA,4.57
BOB-01,13,4,2015,NA,4.32
BOB-01,13,4,2015,NA,4.24
BOB-01,13,4,2015,NA,3.6
BOB-01,13,4,2015,NA,5.35
BOB-01,13,4,2015,NA,3.88
BOB-01,17,6,2015,TRUE,3.74
BOB-01,17,6,2015,NA,3.75
BOB-01,17,6,2015,NA,3.65
BOB-01,17,6,2015,NA,4.3
BOB-01,17,6,2015,NA,4.06
BOB-01,17,6,2015,NA,4.1
BOB-01,17,6,2015,NA,4.47
BOB-01,17,6,2015,NA,3.75
BOB-01,17,6,2015,NA,4.09
BOB-01,17,6,2015,NA,4.75
BOB-01,17,6,2015,NA,3.92
BOB-01,17,6,2015,NA,4.36
BOB-01,17,6,2015,NA,5.27
BOB-01,17,6,2015,NA,5.12
BOB-01,17,6,2015,NA,4.53
BOB-01,17,6,2015,NA,5.71
BOB-01,17,6,2015,NA,4.06
BOB-01,17,6,2015,NA,4.44
BOB-01,17,6,2015,NA,4.63
BOB-01,17,6,2015,NA,4.51
BOB-01,17,6,2015,NA,4.07
BOB-01,17,6,2015,NA,4.6
BOB-01,17,6,2015,NA,4.36
BOB-01,17,6,2015,NA,3.69
BOB-01,17,6,2015,NA,4.38
BOB-01,17,6,2015,NA,4.59
BOB-01,12,7,2015,TRUE,3.86
BOB-01,12,7,2015,NA,4
BOB-01,12,7,2015,NA,3.91
BOB-01,12,7,2015,NA,5.17
BOB-01,12,7,2015,NA,4.56
BOB-01,12,7,2015,NA,4.28
BOB-01,12,7,2015,NA,4.72
BOB-01,12,7,2015,NA,4.09
BOB-01,12,7,2015,NA,3.78
